mapper,,,,,
DocTitle,IndexerTime,Cumulative Time,Document,CumuAvgWords,
0,58,58,1,13946,2963
1,55,113,2,27892,5925
2,61,174,3,41837,8888
3,55,229,4,55783,11851
4,53,282,5,69729,14813
5,52,334,6,83675,17776
6,57,391,7,97621,20738
7,50,441,8,111567,23701
8,50,491,9,125512,26664
9,13,504,10,139458,29626
10,13,517,11,153404,32589
,,,,,
reducer,,,,,
DocTitle,IndexerTime,Cumulative Time,Document,CumuAvgWords,
0,8,8,1,30681,6518
1,15,23,2,61362,13036
2,11,34,3,92042,19553
3,11,45,4,122723,26071
4,10,55,5,153404,32589
,,,,,
altogether,,,,,
,,SubCumulative Time,TotCumulative Time,CumuAvgWords,DocEst
,,58,58,13946,2963
ndocs,,55,113,27892,5925
32589,,61,174,41837,8888
,,55,229,55783,11851
avg words/doc,,53,282,69729,14813
4.707232502,,52,334,83675,17776
,,57,391,97621,20738
,,50,441,111567,23701
,,50,491,125512,26664
,,13,504,139458,29626
,,13,517,153404,32589
,,8,525,30681,6518
,,15,540,61362,13036
,,11,551,92042,19553
,,11,562,122723,26071
,,10,572,153404,32589
